egg_id,hatch_date,status
F114_4,NA,?
F23_16,20/03/2025,dead
F23_13,20/03/2025,dead
F44_8,20/03/2025,killed
F42_3,20/03/2025,dead
F17_4,21/03/2025,dead
F118_3,21/03/2025,alive
F27_1,21/03/2025,killed
F148_4,22/03/2025,killed
F22_13,22/03/2025,killed
F17_6,22/03/2025,missing
F22_20,22/03/2025,killed
F116_9,23/03/2025,killed
F11_5,23/03/2025,killed
F118_19,23/03/2025,killed
F38_10,23/03/2025,killed
F1_19,23/03/2025,killed
F22_16,23/03/2025,killed
F118_14,23/03/2025,missing
F23_3,23/03/2025,killed
F37_8,23/03/2025,killed
F23_10,23/03/2025,dead
F23_2,23/03/2025,killed
F118_2,24/03/2025,killed
F22_1,24/03/2025,killed
F44_5,24/03/2025,killed
F37_11,24/03/2025,killed
F57_3,24/03/2025,killed
F57_1,25/03/2025,killed
F10_3,25/03/2025,killed
F22_17,25/03/2025,killed
F22_12,25/03/2025,dead
F22_14,25/03/2025,killed
F1_18,25/03/2025,killed
F121_2,25/03/2025,dead
F22_5,25/03/2025,killed
F1_6,25/03/2025,dead
F22_7,25/03/2025,killed
F22_15,25/03/2025,killed
F63_6,25/03/2025,killed
F46_11,25/03/2025,killed
F11_2,25/03/2025,missing
F10_4,25/03/2025,killed
F27_11,25/03/2025,dead
F42_11,25/03/2025,dead
F44_14,25/03/2025,killed
F42_5,25/03/2025,dead
F148_10,25/03/2025,killed
F57_7,25/03/2025,killed
F27_8,25/03/2025,killed
F37_9,25/03/2025,killed
F11_8,26/03/2025,killed
F20_7,26/03/2025,dead
F1_3,26/03/2025,missing?
F20_8,26/03/2025,killed
F10_1,26/03/2025,killed
F25_4,26/03/2025,killed
F1_20,03/04/2025,killed
F44_4,26/03/2025,killed
F69_19,26/03/2025,killed
F64_11,26/03/2025,killed
F42_7,26/03/2025,dead
F148_12,26/03/2025,killed
F135_17,26/03/2025,killed
F23_18,26/03/2025,killed
F118_9,26/03/2025,killed
F148_13,27/03/2025,killed
F50_20,27/03/2025,killed
F165_10,27/03/2025,killed
F148_18,27/03/2025,dead
F148_19,27/03/2025,killed
F140_10,27/03/2025,dead
F27_16,27/03/2025,missing
F140_5,27/03/2025,missing
F140_8,27/03/2025,dead
F46_14,27/03/2025,killed
F52_19,27/03/2025,killed
F37_5,27/03/2025,missing
F95_19,27/03/2025,missing
F23_11,27/03/2025,killed
F23_9,27/03/2025,
F21_11,27/03/2025,
F140_11,27/03/2025,killed
F74_15,27/03/2025,killed
F23_20,27/03/2025,
F23_15,27/03/2025,missing
F140_16,27/03/2025,missing
F44_12,27/03/2025,killed
F25_3,27/03/2025,killed
F44_7,27/03/2025,killed
F57_13,27/03/2025,killed
F101_1,06/04/2025,killed
F57_15,27/03/2025,dead
F44_19,27/03/2025,killed
F22_11,27/03/2025,killed
F46_13,27/03/2025,killed
F44_9,27/03/2025,killed
F110_15,04/04/2025,killed
F112_3,30/03/2025,killed
F95_14,27/03/2025,killed
F23_19,27/03/2025,killed
F1_1,27/03/2025,killed
F22_18,27/03/2025,dead
F22_2,27/03/2025,killed
F121_5,27/03/2025,killed
F116_3,27/03/2025,missing
F17_8,27/03/2025,killed
F22_4,27/03/2025,dead
F118_20,27/03/2025,killed
F37_19,27/03/2025,killed
F22_3,27/03/2025,dead
F10_7,27/03/2025,killed
F144_2,27/03/2025,killed
F20_6,27/03/2025,dead
F10_2,27/03/2025,killed
F22_8,27/03/2025,killed
F22_9,28/03/2025,killed
F73_10,28/03/2025,killed
F1_7,28/03/2025,killed
F1_15,28/03/2025,
F144_3,28/03/2025,killed
F19_5,28/03/2025,killed
F114_8,28/03/2025,missing
F11_7,28/03/2025,killed
F118_18,28/03/2025,missing
F25_16,28/03/2025,dead
F42_2,28/03/2025,dead
F48_16,28/03/2025,killed
F27_18,28/03/2025,missing
F42_18,28/03/2025,dead
F56_9,28/03/2025,killed
F67_6,28/03/2025,dead
F48_15,28/03/2025,dead
F1_2,28/03/2025,killed
F12_2,28/03/2025,missing
F76_18,28/03/2025,missing
F96_13,28/03/2025,NA
F96_5,28/03/2025,killed
F96_9,28/03/2025,killed
F135_18,28/03/2025,missing
F148_15,28/03/2025,
F165_3,28/03/2025,killed
F67_8,28/03/2025,
F145_19,28/03/2025,killed
F117_15,05/04/2025,killed
F46_3,28/03/2025,killed
F148_11,29/03/2025,killed
F116_6,29/03/2025,killed
F50_3,29/03/2025,killed
F140_7,29/03/2025,dead
F107_3,29/03/2025,killed
F140_3,29/03/2025,missing
F140_14,29/03/2025,killed
F140_19,29/03/2025,missing
F112_1,29/03/2025,killed
F76_6,29/03/2025,killed
F103_19,29/03/2025,killed
F21_8,29/03/2025,dead
F103_8,29/03/2025,dead
F103_9,29/03/2025,killed
F112_4,29/03/2025,dead
F27_9,29/03/2025,killed
F15_11,29/03/2025,killed
F51_13,29/03/2025,dead
F25_1,29/03/2025,killed
F25_10,29/03/2025,killed
F44_10,29/03/2025,killed
F44_18,29/03/2025,dead
F64_4,29/03/2025,killed
F64_1,29/03/2025,killed
F46_9,29/03/2025,killed
F48_5,29/03/2025,killed
F51_16,29/03/2025,killed
F10_9,29/03/2025,killed
F95_4,29/03/2025,killed
F22_10,29/03/2025,dead
F1_12,29/03/2025,killed
F_13,29/03/2025,killed
F38_17,29/03/2025,killed
F95_7,29/03/2025,killed
F144_1,29/03/2025,killed
F10_6,29/03/2025,killed
F110_19,29/03/2025,missing
F1_4,29/03/2025,killed
F20_1,29/03/2025,killed
F11_1,29/03/2025,missing
F11_4,29/03/2025,killed
F10_10,30/03/2025,dead
F10_8,30/03/2025,missing
F103_5,30/03/2025,killed
F11_6,30/03/2025,dead
F117_16,30/03/2025,killed
F114_6,30/03/2025,missing
F114_9,30/03/2025,killed
F121_13,06/04/2025,killed
F118_5,30/03/2025,missing
F121_4,30/03/2025,killed
